"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (in %),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0,0,0.780689783,0.076140797,0.728384375,0.365639491,0.377064396,0.63219161,0.53499891,0.23693051,0.130967644,0.69322809,0.027494083,0.137421409,0.08708746,0.836712901,0.396557479,0.064301116,0.730996279,0.535959086,0.039187121,0.000157979,0,1,0,0.744493392,0.897959184,0.826530612,0.474137931,0.957894737,0.947916667,0.833333333,0,0.666666667,0.446808511,0
0,0,0.690124901,0.071285486,0.765563897,0.408051819,0.428409802,0.674007734,0.49264962,0.395542298,0.134632662,0.639310661,0.035600659,0.11740802,0.092400859,0.73584742,0.311484338,0.067761931,0.602583013,0.529317665,0.060156572,0.013173716,0,1,0,0.68722467,0.897959184,0.826530612,0.482758621,0.957894737,0.947916667,0.833333333,0,0.666666667,0.446808511,0
0,0,0.765311112,0.071684201,0.80431827,0.458304263,0.476695631,0.690323088,0.466469744,0.406304194,0.141626174,0.62469992,0.044241949,0.177289715,0.100542759,0.612816699,0.274887074,0.075832028,0.512915123,0.503604082,0.09032315,0.028330949,0,1,0,0.669603524,0.897959184,0.826530612,0.49137931,0.957894737,0.947916667,0.833333333,0,0.666666667,0.446808511,0
0,0,0.616756353,0.075174022,0.811217346,0.506203279,0.52477381,0.697645728,0.332942509,0.509810062,0.147333141,0.601361509,0.044497959,0.182823526,0.100674852,0.497810272,0.247918013,0.076228371,0.42878231,0.503114071,0.084069104,0.025417109,0,1,0,0.647577093,0.897959184,0.826530612,0.5,0.957894737,0.947916667,0.833333333,0,0.666666667,0.446808511,0
0,0,0.605793687,0.086790694,0.845251343,0.547134148,0.564359048,0.741131928,0.521238953,0.530192477,0.153657551,0.42312079,0.061195403,0.102836018,0.08315478,0.417546281,0.267142669,0.078749542,0.378966781,0.51776839,0.044337513,0.004616505,0,1,0,0.453744493,0.897959184,0.826530612,0.50862069,0.957894737,0.947916667,0.75,0,0.666666667,0.446808511,0
0,0,0.655788291,0.124835979,0.778955584,0.496072866,0.507230227,0.630371655,0.540944023,0.442551017,0.152767683,0.234599414,0.033782265,0.123967268,0.056909351,0.377175583,0.307305241,0.076539294,0.567158693,0.579296889,0.038819236,8.78E-06,0,1,0,0.251101322,0.897959184,0.826530612,0.517241379,0.957894737,0.947916667,0.666666667,0,0.666666667,0.446808511,0
0,0,0.631806684,0.116838921,0.911205768,0.62119186,0.624817551,0.568621679,0.63228148,0.62439781,0.160002997,0.613809845,0.046396293,0.128901198,0.056909351,0.342168196,0.281782341,0.08715553,0.46420663,0.701845637,0.038819236,0,0,1,0,0.660792952,0.897959184,0.826530612,0.525862069,0.957894737,0.947916667,0.666666667,0,0.666666667,0.446808511,0
0,0,0.502700853,0.119916669,0.951284904,0.707798498,0.704214337,0.538110682,0.332996718,0.666578569,0.16594113,0.533544788,0.068572593,0.1609688,0.062551955,0.308244992,0.270425948,0.102571082,0.363468641,0.769756121,0.038819236,0,0,1,0,0.572687225,0.897959184,0.826530612,0.534482759,0.957894737,0.947916667,0.583333333,0,0.333333333,0.446808511,0
0,0,0.514870478,0.126205602,0.971727398,0.768622523,0.754792105,0.452637068,0.347559042,0.495626738,0.173903845,0.405547298,0.059360515,0.144638998,0.06137427,0.303129673,0.300031292,0.117133506,0.349077484,0.754470967,0.038819236,0,0,1,0,0.436123348,0.897959184,0.826530612,0.543103448,0.957894737,0.947916667,0.583333333,0,0.333333333,0.446808511,0
0,0,0.575803915,0.117872673,1,0.830657502,0.813600351,0.451352394,0.593594797,0.484921267,0.183452947,0.463135644,0.061451877,0.152040277,0.072514874,0.326050983,0.314583662,0.116706579,0.361254621,0.834240013,0.038819236,0,0,1,0,0.497797357,0.897959184,0.826530612,0.551724138,0.957894737,0.947916667,0.5,0,0.333333333,0.446808511,0
